Año;Mes de choque;Rango horario;Cantidad de lesionados;Lugar del accidente;Coordenada X;Coordenada Y
2016;marzo;0 a 5:59;1;AYACUCHO Y MARCO POLO;5440596,735;6347868,605
2016;Junio;0 a 5:59;1;24 DE SEPTIEMBRE Y SAN MARTIN;5439749,24;6351185,405
2016;Agosto;0 a 5:59;1;DORREGO Y SAN JUAN;5439203,59;6354778,18
2016;Septiembre;0 a 5:59;1;MITRE Y PASCO;5439895,46;6353545,79
2016;Julio;0 a 5:59;1;ROUILLON Y SEGUI;5434460,94;6352245,97
2016;FEBRERO;0 a 5:59;1;25 DE MAYO Y 27 DE FEBRERO;5432600,99;6353467,86
2016;Junio;0 a 5:59;1;EVA PERON Y RIO DE JANEIRO;5436363,08;6355795,93
2016;Agosto;0 a 5:59;1;2106 Y NUEVA CALLE A SOLDINI;5435788,37;6346664,7
2016;Octubre;0 a 5:59;1;CONGRESO 499;5435875746791360;6358897287101300
2016;Diciembre;0 a 5:59;1;ITALIA Y PELLEGRINI;5439167,72;6353959,99
2016;Agosto;0 a 5:59;1;PROVINCIAS UNIDAS Y RUEDA;5433461,78;6353121,31
2016;Enero;0 a 5:59;1;J B JUSTO Y TARRAGONA;5431230,47;6358349,74
2016;Septiembre;0 a 5:59;1;PEREZ BULNES Y PROVINCIAS UNIDAS;5433369,09;6355376,97
2016;Octubre;0 a 5:59;1;FRENCH Y IGUAZU;5435815,62;6357772,36
2016;Noviembre;0 a 5:59;1;25 DE MAYO Y PELLEGRINI;5432481.2418575;6354662.1871275
2016;Agosto;0 a 5:59;1;CRESPO Y RIOJA;5437482,53;6355431,44
2016;Noviembre;0 a 5:59;1;ENTRE RIOS Y PELLEGRINI;5439815,59;6353827,03
2016;Julio;0 a 5:59;1;DORREGO Y PELLEGRINI;5439040,52;6353986,09
2016;FEBRERO;0 a 5:59;1;ANCHORENA Y AYACUCHO;5440510;6349327,69
2016;Septiembre;0 a 5:59;1;ALEM Y RIOBAMBA;5440868,66;6352946,8
2016;Agosto;0 a 5:59;1;ESPAÑA Y URIBURU;5438491,49;6350020,45
2016;Octubre;0 a 5:59;2;CERRITO Y LIMA;5435754,26;6354132,88
2016;Diciembre;0 a 5:59;2;FELIPE MORE Y PTE PERON;5435203,41;6353587,33
2016;FEBRERO;0 a 5:59;1;FRANCIA 3745;5437003,14;6351691,19
2016;Junio;0 a 5:59;1;ALVEAR Y BROWN;5438995,47;6356330,83
2016;Diciembre;0 a 5:59;1;CONWAY 3175;5431754,87;6361790,76
2016;Diciembre;0 a 5:59;1;BARRA Y GENOVA;5433762,97;6358327,44
2016;Diciembre;0 a 5:59;1;DE LA LIBERTAD Y SAN JUAN;5441283,64;6354333,17
2016;Junio;0 a 5:59;1;JORGE NEWBERY Y TARRAGONA;5431199,91;6359122,37
2016;Abril;0 a 5:59;1;CORRIENTES Y SAN LUIS;5439871,06;6354761,515
2016;Agosto;0 a 5:59;1;AVELLANEDA Y SABIN;5436718,71;6356904,81
2016;Diciembre;0 a 5:59;1;ACEVEDO ING. ARTURO Y HUTCHINSON;5436583,94;6350759,5
2016;Diciembre;0 a 5:59;1;25 DE MAYO Y URIBURU;5434425,19;6349866,32
2016;Enero;0 a 5:59;1;ITALIA Y SAAVEDRA;5438695,71;6351668,11
2016;marzo;0 a 5:59;1;LA PAZ Y OVIDIO LAGOS;5437753,44;6353453,85
2016;FEBRERO;0 a 5:59;1;M MORENO Y PELLEGRINI;5438915,06;6354011,8
2016;Abril;0 a 5:59;1;KHANTUTA Y SAN MARTIN;5439139,3;6347696,667
2016;Junio;0 a 5:59;1;PTE ROCA Y SAAVEDRA;5438954,11;6351615,01
2016;Julio;0 a 5:59;2;RIOJA Y PUEYRREDON;5438501,79;6355221,24
2016;FEBRERO;0 a 5:59;1;GENOVA Y TRAVESIA;5435333,06;6358393,81
2016;Junio;0 a 5:59;1;J M GUTIERREZ Y MARGIS;5438317,64;6349653,14
2016;marzo;0 a 5:59;1;SAAVEDRA 3700;5436273,677;6352182,552
2016;Julio;0 a 5:59;1;GABOTO Y LAPRIDA;5440076,74;6351915,01
2016;Septiembre;0 a 5:59;1;BATTLE ORDOÑEZ Y PTE ROCA;5438711,91;6348022,96
2016;Abril;0 a 5:59;1;AYALA GAUNA Y GONZALEZ DEL SOLAR;5430997,86;6358671,11
2016;marzo;0 a 5:59;1;AYACUCHO Y URIBURU;5440470,744;6350106,086
2016;Diciembre;0 a 5:59;1;SARMIENTO Y SEGUI;5439579,82;6351353,9
2016;FEBRERO;0 a 5:59;1;GALVEZ Y GARZON;5434097,11;6353405,39
2016;FEBRERO;0 a 5:59;1;CAMILO ALDAO Y J J PASO;5434826,59;6357903,38
2016;Junio;0 a 5:59;1;BAIGORRIA Y RONDEAU;5435127,095;6361033,77
